,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Illinois,FIPS:17,9.255555555555556,10.122222222222224,8.877777777777778,9.877777777777778,9.350000000000001,7.544444444444445,6.300000000000001,6.15,6.572222222222223,9.311111111111112,10.244444444444445,10.788888888888888,10.122222222222224,10.733333333333333,10.088888888888889,10.011111111111113,8.299999999999999,7.222222222222222,6.294444444444444,5.6,7.094444444444444,8.083333333333334,8.311111111111112,9.738888888888889,9.761111111111113,10.033333333333333,11.100000000000001,10.438888888888888,9.616666666666667,8.344444444444443,6.411111111111111,5.872222222222223,6.25,9.055555555555555,9.277777777777777,9.683333333333332,10.68888888888889,9.972222222222221,10.083333333333334,10.305555555555555,7.711111111111112,7.300000000000001,6.322222222222223,6.322222222222222,6.788888888888888
Indiana,FIPS:18,8.799999999999999,9.366666666666665,8.408333333333333,9.308333333333332,8.325000000000001,7.55,5.8,5.55,5.666666666666667,8.591666666666667,8.95,9.608333333333333,9.891666666666667,10.3,9.533333333333333,9.216666666666667,7.75,6.991666666666668,5.625,5.2250000000000005,5.816666666666666,7.458333333333333,7.427272727272726,9.416666666666666,9.808333333333334,9.624999999999998,10.466666666666667,9.966666666666667,9.366666666666665,8.016666666666666,5.908333333333334,5.291666666666666,5.5249999999999995,7.466666666666668,8.500000000000002,9.016666666666667,9.749999999999998,9.558333333333332,9.791666666666666,9.541666666666666,7.758333333333334,6.959999999999999,5.633333333333333,5.8999999999999995,6.216666666666666
Iowa,FIPS:19,10.8,11.373333333333333,10.606666666666667,11.393333333333334,11.093333333333332,7.8875,6.893750000000001,7.325,8.075,9.740000000000002,11.82,11.406666666666666,10.653333333333334,11.933333333333334,11.093333333333334,12.55,8.81875,8.6875,7.48125,6.51875,8.7375,9.146666666666667,9.953333333333335,12.026666666666667,10.626666666666669,11.053333333333333,12.386666666666667,11.280000000000001,10.06875,9.419999999999998,6.96875,6.55625,7.6625,10.933333333333334,10.293333333333333,11.066666666666666,11.142857142857142,10.466666666666665,11.56,11.726666666666667,8.40625,8.9125,7.0,7.112500000000001,7.85
Kansas,FIPS:20,9.4,10.256521739130436,9.091304347826087,10.981818181818182,10.066666666666665,9.2875,8.291666666666666,7.578260869565218,9.604347826086956,8.413043478260871,11.226086956521739,10.256521739130436,9.156521739130433,11.465217391304348,11.786956521739132,11.713043478260868,9.020833333333334,8.545833333333334,8.88181818181818,7.81304347826087,9.060869565217393,9.926086956521738,9.347826086956522,9.008695652173914,9.604545454545452,10.165217391304346,12.495652173913042,12.01304347826087,9.854166666666666,9.700000000000001,7.9125000000000005,6.795833333333334,8.626086956521739,11.191304347826089,9.577272727272726,10.169565217391305,10.356521739130436,10.930434782608698,11.965217391304348,12.730434782608697,8.916666666666666,10.458333333333334,6.621739130434783,8.341666666666667,8.717391304347826
Kentucky,FIPS:21,7.055555555555555,8.133333333333333,6.988888888888889,7.355555555555556,5.866666666666667,6.055555555555555,4.8,4.055555555555555,4.2444444444444445,5.933333333333334,6.022222222222222,7.177777777777777,7.699999999999999,8.088888888888889,7.788888888888888,7.322222222222223,5.833333333333332,5.28888888888889,4.444444444444444,4.288888888888889,4.188888888888888,5.622222222222222,5.333333333333333,7.133333333333334,8.055555555555555,7.5,8.511111111111111,7.944444444444445,6.944444444444445,5.555555555555555,5.055555555555555,4.355555555555555,4.566666666666666,5.388888888888889,6.677777777777778,7.01111111111111,7.344444444444445,7.611111111111111,8.28888888888889,7.98888888888889,6.044444444444444,5.0,4.666666666666667,4.699999999999999,4.633333333333334
Louisiana,FIPS:22,6.83125,7.488235294117648,6.4,6.833333333333332,6.3133333333333335,5.199999999999999,5.34375,5.086666666666667,4.706666666666666,6.50625,6.760000000000001,7.664285714285714,7.300000000000001,7.5666666666666655,8.533333333333333,7.413333333333333,6.260000000000001,4.653333333333333,4.652941176470589,4.423529411764706,4.105882352941176,4.300000000000001,5.470588235294117,7.3375,7.75625,7.570588235294117,7.46470588235294,7.358823529411764,6.552941176470588,6.46875,4.111764705882353,5.223529411764705,4.405882352941177,6.023529411764706,5.482352941176471,6.760000000000001,6.81875,7.8066666666666675,7.55625,7.223529411764706,5.225,5.476470588235294,4.8125,4.6375,4.188235294117646
Maine,FIPS:23,7.5083333333333355,7.741666666666666,8.683333333333332,7.291666666666668,6.7,5.658333333333334,4.575,4.316666666666666,4.883333333333334,6.016666666666667,6.108333333333333,5.2,6.949999999999999,7.241666666666667,7.116666666666667,7.183333333333334,6.408333333333332,6.083333333333335,4.9833333333333325,4.8500000000000005,4.691666666666666,5.775000000000001,5.633333333333333,6.258333333333334,6.241666666666666,7.033333333333332,8.291666666666668,6.1499999999999995,6.641666666666667,5.383333333333333,4.508333333333334,4.758333333333334,4.95,6.300000000000001,6.800000000000001,6.391666666666667,7.875,6.483333333333334,9.116666666666665,6.958333333333335,6.325,5.841666666666666,5.033333333333333,4.266666666666667,4.836363636363636
Maryland,FIPS:24,8.025,8.575,8.085714285714285,8.625,7.4625,7.685714285714286,5.957142857142856,5.9,6.699999999999999,7.7,6.512499999999999,6.55,8.442857142857145,8.975000000000001,8.662500000000001,8.9,6.5625,7.300000000000001,5.85,5.942857142857144,7.15,7.15,6.8,7.95,8.1125,7.9125,10.3,8.7125,8.5875,7.9,6.366666666666666,5.65,5.966666666666666,6.5555555555555545,6.775,6.9375,8.5,7.411111111111111,10.166666666666666,9.644444444444446,6.866666666666666,6.588888888888889,6.444444444444444,5.811111111111111,6.737500000000001
Massachusetts,FIPS:25,9.689473684210528,9.305263157894737,8.98421052631579,9.23684210526316,8.578947368421053,7.273684210526317,6.242105263157894,6.152631578947367,6.111111111111111,8.094736842105263,7.505555555555556,7.294736842105263,9.405263157894737,9.91578947368421,9.410526315789474,8.799999999999999,7.773684210526315,7.794736842105263,7.078947368421052,6.957894736842104,7.084210526315789,7.605263157894735,7.594736842105264,8.757894736842104,8.842105263157896,9.472222222222221,10.821052631578949,9.168421052631578,7.989473684210526,8.15263157894737,6.384210526315789,5.921052631578947,7.0473684210526315,7.6684210526315795,8.278947368421052,7.922222222222223,10.061111111111112,8.236842105263158,10.994736842105263,9.015789473684208,7.473684210526316,7.2,6.626315789473685,6.605263157894737,6.226315789473684
Michigan,FIPS:26,9.384615384615385,9.096153846153847,9.053846153846155,9.146153846153847,8.21923076923077,6.842307692307693,6.457692307692308,6.857692307692308,6.28076923076923,9.073076923076924,9.203846153846154,9.423076923076922,9.515384615384615,10.242307692307692,8.48076923076923,8.46923076923077,7.526923076923077,7.426923076923076,6.928,5.9923076923076914,6.7,7.4692307692307685,8.448,10.723076923076924,8.642307692307693,9.942307692307692,10.276000000000002,9.692307692307693,8.826923076923077,8.05,6.203846153846154,6.36153846153846,5.657692307692307,8.468,8.965384615384615,8.98076923076923,10.015384615384617,9.126923076923076,8.98846153846154,8.785185185185183,7.323999999999999,7.077777777777777,6.284615384615384,6.04074074074074,6.761538461538463
Minnesota,FIPS:27,9.475,9.94375,9.80625,10.456249999999999,9.19375,6.98,7.768750000000001,8.100000000000001,7.853333333333333,9.1375,9.606666666666666,8.681250000000002,8.9375,9.9125,8.35625,10.774999999999999,8.4125,8.881250000000001,7.45625,6.6,8.34375,8.68125,8.2375,10.924999999999999,8.5625,9.6875,10.1375,9.1125,8.7375,8.29375,6.54375,6.400000000000001,8.326666666666666,9.58,9.53125,9.006666666666666,9.15625,8.6,8.753333333333334,9.013333333333334,7.514285714285714,8.18,7.000000000000001,6.453333333333333,7.91875
