,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Delaware,FIPS:10,7.296296296296298,5.730769230769232,9.692307692307693,6.730769230769232,3.75,11.433333333333335,6.703703703703702,4.652173913043479,3.0,5.583333333333332,4.9230769230769225,8.846153846153848,4.304347826086956,8.64,5.590909090909091,8.394736842105264,12.128205128205128,6.476190476190476,7.371428571428571,3.976190476190476,6.243902439024391,4.717948717948718,2.147058823529412,7.973684210526316,8.6,3.3243243243243237,5.578947368421051,6.973684210526316,10.023809523809524,4.846153846153847,8.384615384615385,7.897435897435898,3.918918918918919,5.0,4.378378378378378,4.027777777777779,6.066666666666666,9.0,7.068965517241379,6.027777777777778,10.454545454545457,5.918918918918918,7.054054054054054,6.6571428571428575,11.303030303030305
District of Columbia,FIPS:11,9.333333333333334,3.5,9.0,8.0,4.0,11.0,9.25,4.4,4.2,4.75,6.25,9.75,2.333333333333333,8.75,4.333333333333333,5.25,13.75,7.0,8.4,3.5,5.0,3.6,2.0,7.75,7.5,2.25,5.0,6.75,11.75,3.6,8.2,10.25,4.75,5.75,4.333333333333333,3.0,3.5,9.0,6.0,4.0,9.0,9.666666666666666,7.5,9.0,12.333333333333336
Florida,FIPS:12,3.7796610169491527,4.60036832412523,4.213461538461538,6.421965317919075,3.882113821138212,8.62124248496994,12.149284253578733,12.715430861723448,10.75301204819277,3.960905349794239,4.9523809523809526,4.805031446540879,9.066666666666666,4.330078125,4.902489626556017,3.3291666666666666,5.121794871794871,9.075156576200417,8.383116883116884,11.764578833693305,9.789915966386557,4.6788008565310495,0.7263779527559056,3.4897119341563787,4.543259557344063,2.6821705426356592,2.473581213307241,2.282608695652174,5.686486486486486,14.146739130434785,11.212727272727273,11.23452157598499,7.270642201834862,8.099415204678362,3.0761904761904764,2.51953125,5.366666666666666,2.3929824561403508,2.960144927536232,5.270650263620387,12.32096474953618,10.290441176470589,12.831395348837207,11.644660194174756,8.45224171539961
Georgia,FIPS:13,5.351437699680512,6.629508196721313,7.906896551724138,11.250859106529212,3.727272727272727,6.9507692307692315,8.086261980830669,8.77639751552795,7.267741935483871,6.902597402597403,7.659375,9.97196261682243,6.817034700315458,5.322085889570552,5.056886227544911,5.3269230769230775,5.239747634069402,5.422018348623854,6.245901639344263,7.855769230769232,3.192073170731707,0.7839506172839507,1.4662576687116564,7.463333333333333,7.0670926517571875,4.449367088607595,6.582278481012659,4.613418530351439,8.45016077170418,9.604026845637584,9.385906040268457,7.333333333333332,4.376237623762377,5.107023411371237,2.9667774086378738,5.993079584775088,5.1617161716171625,7.4664536741214045,7.744262295081969,5.7275747508305646,10.056856187290972,8.679715302491104,9.011111111111113,8.113475177304965,5.523985239852399
Hawaii,FIPS:15,3.1166666666666667,4.398305084745763,8.385245901639344,8.795275590551181,8.640776699029127,8.108108108108109,7.731481481481483,11.4375,12.22608695652174,8.39090909090909,11.316239316239313,8.728813559322035,2.7058823529411766,4.6,5.557522123893804,8.837606837606838,8.824074074074074,10.694444444444443,10.071428571428571,10.944954128440369,9.544642857142858,8.442477876106192,7.363636363636362,12.02803738317757,4.457627118644068,4.830357142857143,5.321739130434783,8.824561403508772,7.867924528301888,7.4205607476635524,8.299065420560748,7.127450980392156,5.77,10.636363636363637,10.333333333333334,7.622641509433963,5.657657657657657,9.9126213592233,9.86734693877551,12.621359223300969,9.164835164835164,7.7666666666666675,8.53012048192771,10.862068965517242,9.3974358974359
Idaho,FIPS:16,6.184873949579832,5.915254237288137,5.417355371900826,5.238683127572017,9.076595744680851,2.411290322580645,4.8755186721991715,2.7020408163265306,3.971428571428572,5.604938271604938,7.697478991596639,11.75,9.421276595744681,5.709543568464731,11.3099173553719,5.715415019762847,7.271255060728746,3.012295081967213,2.343873517786561,0.8433734939759037,4.956,12.084000000000001,6.04149377593361,10.482608695652171,9.401746724890831,12.162393162393162,12.669456066945608,11.167364016736402,5.830508474576272,5.1440329218107,1.3043478260869563,1.4645669291338583,5.241803278688526,5.7542372881355925,11.333333333333336,6.860262008733624,9.357446808510637,7.25,9.004310344827587,8.913419913419911,8.381974248927039,5.0886075949367084,0.648068669527897,1.6681034482758617,1.018867924528302
Illinois,FIPS:17,4.16414686825054,3.2692307692307687,4.157205240174672,6.672413793103447,10.60377358490566,11.75381679389313,6.521072796934866,4.755555555555556,4.905482041587902,3.1190019193857967,8.186612576064908,8.238658777120316,2.9247311827956985,2.557894736842105,7.649159663865548,6.305182341650673,9.074906367041196,5.455066921606119,8.765151515151516,8.188539741219962,4.8248175182481745,5.75046904315197,4.9570093457943925,4.269978401727862,5.012658227848102,2.5352112676056344,7.6203319502074685,8.905730129390019,8.856637168141592,5.594594594594594,6.8702010968921385,4.3021201413427566,1.56794425087108,7.83546617915905,5.597765363128492,2.0271844660194174,3.6172839506172836,7.903361344537815,6.571705426356589,5.329113924050633,7.730357142857143,8.604982206405694,5.093693693693694,7.365107913669065,6.26007326007326
Indiana,FIPS:18,4.583333333333333,3.8857142857142857,6.08125,8.010899182561309,7.846153846153847,12.244389027431419,7.7093333333333325,5.4421593830334185,4.487113402061857,3.850785340314136,7.286111111111111,7.451790633608816,3.647239263803681,4.697247706422019,8.716012084592148,7.9357541899441335,9.226063829787234,6.210106382978723,8.07859078590786,8.167525773195878,6.417322834645669,5.0190735694822886,4.723287671232876,6.2625,7.858823529411764,4.10233918128655,8.329411764705883,7.575916230366492,10.477941176470589,6.030075187969924,8.010416666666666,4.3951219512195125,3.602564102564102,8.087179487179487,6.9736147757255935,2.9541284403669725,5.220820189274448,9.329305135951662,7.887195121951219,6.912536443148688,7.005405405405406,9.0,5.562162162162162,8.354666666666667,6.124277456647398
Iowa,FIPS:19,1.8862745098039213,2.5215686274509803,1.59375,6.32129963898917,11.110714285714288,9.017921146953404,7.4661921708185055,5.868794326241135,5.797101449275362,3.597826086956522,7.309160305343513,6.858267716535432,2.1330645161290325,2.1350210970464136,5.746887966804979,6.335849056603774,9.136200716845877,5.6607142857142865,8.075,7.434306569343065,6.081180811808117,3.5147058823529416,2.929368029739777,4.112903225806451,4.5760000000000005,2.73828125,5.581673306772909,8.309701492537313,8.630434782608695,6.618881118881119,4.359861591695502,6.137184115523466,3.1760563380281686,6.974729241877255,1.7472527472527473,1.4262948207171315,2.2413793103448274,5.298755186721992,5.364705882352942,3.5490909090909093,8.824324324324325,8.938775510204081,4.301369863013698,8.113475177304965,8.906137184115524
Kansas,FIPS:20,1.181985294117647,1.9264705882352944,1.7517857142857145,5.122994652406417,12.486159169550175,5.093425605536332,6.951957295373665,4.465968586387435,3.149732620320856,3.16,4.583025830258301,2.7257462686567164,1.5377532228360955,1.1290322580645162,2.398260869565217,6.1617161716171625,7.5657439446366785,3.722871452420701,7.289703315881328,7.459866220735786,4.816901408450704,2.8699324324324325,1.4831858407079646,2.242369838420108,2.370826010544816,0.596694214876033,3.795221843003413,8.10648918469218,7.821428571428571,5.853535353535353,3.752941176470588,4.843170320404721,3.2465986394557818,4.162751677852349,0.5538461538461539,0.37954939341421146,1.4566371681415928,1.9511754068716092,2.1122625215889466,3.3419689119170983,6.095238095238094,5.213660245183887,6.151304347826088,6.4275741710296685,4.848303393213573
