,,yield per colony,stocks december,average price per pound,value of production,lost colonies,percent lost,added colonies,renovated colonies,percent renovated,varroa mites,other pests and parasites,diseases,pesticides,other,unknown
2015,Ohio,50,-0.306898176,0.487054294,-0.424631339,-0.253924992,0.680941711,-0.252259183,-0.28749724,0.725050046,-0.097818203,-0.656119552,-0.436009588,0.568497126,0.567887753,1.186291008
2015,Oregon,38,-0.063574954,-0.437154349,-0.128947421,-0.118622816,-0.516268234,-0.137909072,-0.002164994,0.121875331,-0.009784538,0.314485638,0.262062124,-0.367945364,-0.606671149,-0.777333185
2015,Other States,39,-0.299361616,1.782526237,-0.167345733,-0.124884735,5.640811487,-0.149223715,-0.284760525,2.800680683,5.17640125,3.941640202,3.644471451,6.265188942,5.492792623,3.749401714
2015,Pennsylvania,53,-0.37795717,0.502852732,-0.407546628,-0.304243983,0.118986022,-0.318943353,-0.273456704,0.725050046,0.000244613,-0.644246706,-0.371240048,-0.790987367,-0.323334572,-0.624402952
2015,South Carolina,67,-0.478624078,0.882015252,-0.358153204,-0.355122073,-0.05204397,-0.398868062,-0.351036614,-0.055528997,-0.222625425,-0.172301063,0.067753503,-0.417231811,-0.410911332,-0.587699696
2015,South Dakota,66,4.549876401,-0.942704375,2.21427997,0.536642265,-0.442969666,0.018570027,0.051379423,-0.587741981,-0.943609998,-0.757038746,-0.421616357,-0.548662336,-1.049706524,-0.434769463
2015,Tennessee,59,-0.457091049,0.834619937,-0.542279031,-0.386655308,0.045687454,-0.400673591,-0.387922768,-0.339375922,0.316720068,1.564102718,-0.536762207,-0.294015694,-0.230606237,-0.012682019
2015,Texas,66,0.127530674,-0.697828581,0.793627002,0.680890039,-0.223073962,1.661600572,1.395939215,0.831492643,-0.463325066,0.61724322,-0.320863739,0.474031436,-0.42121448,0.011786818
2015,Utah,42,-0.419946575,-0.840014526,-0.499313519,-0.257279591,0.094553166,-0.294147434,-0.333069488,-0.357116355,0.428155087,0.151234,1.140049226,0.675284427,-0.565458556,-1.00366993
2015,Vermont,52,-0.465704261,0.984705101,-0.590403788,-0.422996801,-0.516268234,-0.440997051,-0.409102559,-1.031252801,-0.542443929,-0.822339401,-0.5799419,-1.148314106,-1.230011619,-0.049385275
2015,Virginia,38,-0.472164169,2.011603593,-0.576786765,-0.395936366,-0.027611114,-0.421738085,-0.392920247,-0.445818518,-0.214824973,0.124520096,-0.500779129,-1.037419601,-0.472730221,0.543984029
2015,Washington,44,0.15821524,-0.934805156,-0.194410622,-0.029166833,-0.394103954,-0.094215293,0.091478241,0.317020092,-0.118990857,-0.952940711,-0.428812973,-1.012776378,-0.761218373,-0.673340626
2015,West Virginia,35,-0.481854032,1.150588704,-0.61772241,-0.406223804,0.07012031,-0.415238184,-0.39767975,-0.410337653,-0.618219742,-0.783752651,-0.500779129,-0.914203484,-0.194545218,-0.373597369
2015,Wisconsin,67,0.363855662,-0.437154349,0.032596139,-0.128686615,0.290016015,-0.287045691,-0.263818709,-0.215192892,0.228686403,-0.136682524,-0.184128043,1.36118748,0.861527479,1.7062538
2015,Wyoming,77,-0.420484901,-0.855812964,-0.213271467,-0.342262776,-0.247506818,-0.344942957,-0.328904922,0.0509136,-0.449952864,-0.436471895,-0.140948349,-0.380266976,-0.199696792,-0.63663737
2016,Alabama,52,-0.481315706,0.368566006,-0.577209654,-0.393252687,0.167851735,-0.417284449,-0.400297477,-0.71192501,-0.843318481,1.029824631,-0.454001127,-0.577412764,-0.48303337,0.923251007
2016,Arizona,46,-0.358577444,-0.80051843,-0.476477518,-0.209197,0.485478863,-0.158371723,-0.321646679,-0.197452459,0.753545342,0.575688258,0.08934335,0.395994562,0.779102293,0.250357982
2016,Arkansas,69,-0.445786209,-0.89530906,-0.424293028,-0.304243983,-0.125342538,-0.254786922,-0.377332872,-0.694184578,1.232715925,-0.5403593,-0.396428203,-0.832059406,-0.8951593,-0.330776904
2016,California,36,0.582415901,-0.745223896,1.242058391,6.210388036,-0.100909682,5.832370415,4.789465345,0.263798793,0.428155087,0.397595562,0.67586752,1.049039983,0.887285349,-0.079971322
2016,Colorado,40,-0.347272604,-0.587239513,-0.440954851,-0.291384685,-0.100909682,-0.290777115,-0.393277209,-0.96029107,-0.113419106,-0.55816857,0.100138273,-0.031154644,0.124852378,-1.101545279
2016,Florida,50,-0.209461222,-0.437154349,1.525985998,1.066668969,-0.027611114,1.763913829,0.333380016,-0.232933325,0.159596691,0.955619341,0.103736581,0.547961106,0.387582659,-0.428652253
2016,Georgia,39,-0.01512564,-0.23177465,0.168343476,0.12179014,-0.076476826,0.475970472,-0.296659284,-0.818367607,0.361294075,0.409468409,-0.277684045,1.619941326,0.006366173,-0.312425276
2016,Hawaii,113,-0.430713089,-0.531944979,-0.330242537,-0.412933003,-0.809462507,-0.439672997,-0.384234152,-0.552261115,0.112793983,3.214428362,-0.623121594,-1.168850126,-1.147586433,-1.107662488
2016,Idaho,34,0.175441663,-0.919006718,-0.175803511,0.037925155,-0.345238242,-0.084946915,-0.267269349,-0.676444145,-0.262742032,-1.033082424,-0.137350041,-0.544555132,-0.282121978,-0.508175974
2016,Illinois,48,-0.457629375,1.924712182,-0.463367962,-0.396383646,-0.223073962,-0.415840026,-0.401606341,-0.853848473,-0.71851126,-0.504740761,-0.493582513,-0.593841579,-0.534549111,-0.09832295
2016,Indiana,62,-0.387108707,0.376465226,-0.55640352,-0.411702983,-0.369671098,-0.424386193,-0.393039234,-0.445818518,-0.278342934,-0.55816857,-0.543958822,-1.053848417,-0.668490038,-0.239018764
