,state_id,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
Georgia,FIPS:13,,,,,,,,,,,,,,,,5.3269230769230775,5.239747634069402,5.422018348623854,6.245901639344263,7.855769230769233,3.192073170731707,0.7839506172839507,1.4662576687116564,7.463333333333333,7.067092651757188,4.449367088607595,6.582278481012659,4.613418530351439,8.45016077170418,9.604026845637584,9.385906040268457,7.333333333333332,4.376237623762377,5.107023411371237,2.9667774086378738,5.993079584775088,5.1617161716171625,7.4664536741214045,7.744262295081969,5.7275747508305646,10.056856187290972,8.679715302491104,9.011111111111113,8.113475177304965,5.523985239852399
Hawaii,FIPS:15,3.77,,,,,,,,,,,,,,,8.837606837606838,8.824074074074074,10.694444444444443,10.071428571428571,10.944954128440369,9.544642857142858,8.442477876106192,7.363636363636362,12.02803738317757,4.457627118644068,4.830357142857143,5.321739130434783,8.824561403508772,7.867924528301888,7.420560747663552,8.299065420560748,7.127450980392156,5.77,10.636363636363637,10.333333333333334,7.622641509433963,5.657657657657657,9.9126213592233,9.86734693877551,12.621359223300967,9.164835164835164,7.7666666666666675,8.53012048192771,10.862068965517242,9.3974358974359
Idaho,FIPS:16,0.0,0.0,0.0,3.025,5.675,8.6975,8.9425,8.432500000000001,5.5325,1.51,0.0,0.0,0.0,0.0,0.0,5.7154150197628475,7.2712550607287465,3.012295081967213,2.343873517786561,0.8433734939759037,4.956,12.084,6.04149377593361,10.482608695652171,9.401746724890831,12.162393162393162,12.669456066945608,11.167364016736402,5.8305084745762725,5.1440329218107,1.3043478260869563,1.4645669291338583,5.241803278688527,5.7542372881355925,11.333333333333336,6.860262008733624,9.357446808510637,7.25,9.004310344827587,8.913419913419911,8.381974248927039,5.0886075949367084,0.648068669527897,1.6681034482758617,1.0188679245283019
Illinois,FIPS:17,0.0,0.0,0.0,3.37,4.596666666666667,4.316666666666666,4.986666666666667,5.016666666666667,3.7,3.2433333333333336,,,,,,6.305182341650673,9.074906367041196,5.455066921606119,8.765151515151516,8.188539741219962,4.824817518248175,5.75046904315197,4.9570093457943925,4.269978401727862,5.012658227848102,2.5352112676056344,7.6203319502074685,8.905730129390019,8.856637168141592,5.594594594594594,6.8702010968921385,4.3021201413427566,1.5679442508710801,7.83546617915905,5.597765363128492,2.0271844660194174,3.617283950617284,7.903361344537815,6.571705426356589,5.329113924050633,7.730357142857143,8.604982206405694,5.093693693693694,7.365107913669065,6.26007326007326
Indiana,FIPS:18,,,,5.07,6.5100000000000025,7.0,6.228,6.256,5.606,4.04,,,,,,7.935754189944133,9.226063829787234,6.210106382978723,8.07859078590786,8.167525773195878,6.417322834645669,5.0190735694822886,4.723287671232876,6.2625,7.858823529411764,4.10233918128655,8.329411764705883,7.575916230366492,10.477941176470589,6.030075187969924,8.010416666666666,4.3951219512195125,3.6025641025641018,8.087179487179487,6.9736147757255935,2.9541284403669725,5.220820189274448,9.329305135951662,7.887195121951219,6.912536443148688,7.005405405405406,9.0,5.562162162162162,8.354666666666667,6.124277456647397
Iowa,FIPS:19,,,,6.47,5.7650000000000015,6.055,7.285,5.625,5.51,4.25,,,,,,6.335849056603774,9.136200716845877,5.660714285714287,8.075,7.434306569343065,6.081180811808117,3.5147058823529416,2.929368029739777,4.112903225806451,4.5760000000000005,2.73828125,5.581673306772909,8.309701492537313,8.630434782608695,6.618881118881119,4.359861591695502,6.137184115523466,3.176056338028169,6.974729241877255,1.7472527472527473,1.4262948207171315,2.2413793103448274,5.2987551867219915,5.364705882352942,3.5490909090909093,8.824324324324325,8.938775510204081,4.301369863013698,8.113475177304965,8.906137184115524
Kansas,FIPS:20,,,2.06,6.273999999999999,6.241666666666666,9.508333333333333,9.65,8.445,8.158333333333333,5.678,2.08,,1.22,,2.08,6.1617161716171625,7.5657439446366785,3.7228714524207014,7.289703315881328,7.459866220735786,4.816901408450704,2.8699324324324325,1.4831858407079646,2.242369838420108,2.370826010544816,0.596694214876033,3.795221843003413,8.10648918469218,7.821428571428571,5.853535353535353,3.752941176470588,4.843170320404721,3.2465986394557818,4.162751677852349,0.5538461538461539,0.37954939341421146,1.4566371681415928,1.9511754068716087,2.1122625215889466,3.3419689119170983,6.095238095238094,5.2136602451838865,6.151304347826088,6.4275741710296685,4.848303393213573
Kentucky,FIPS:21,,,,4.815,6.029999999999999,6.48,7.605,5.9,5.08,3.86,,,,,,6.82122905027933,11.384615384615385,6.078125,10.632124352331607,8.026881720430108,4.628865979381443,2.0962566844919786,4.406417112299465,8.35,10.452513966480447,4.941798941798941,8.56989247311828,9.065217391304348,10.61340206185567,6.2051282051282035,7.497267759562843,6.616216216216216,6.0736842105263165,5.683060109289618,5.919354838709677,3.2737430167597767,5.910714285714287,13.19186046511628,10.823529411764708,7.842424242424243,8.947058823529412,9.518518518518519,5.9640718562874255,7.751552795031056,10.302013422818794
Louisiana,FIPS:22,0.85,1.235,1.94,4.426666666666667,6.183333333333334,6.94,9.186666666666666,8.003333333333332,6.266666666666668,4.766666666666667,1.655,1.78,1.085,2.4766666666666666,4.126666666666666,7.113636363636362,5.473118279569892,8.737142857142857,7.5672514619883025,12.838323353293411,4.887005649717514,0.907103825136612,3.902702702702703,6.3352941176470585,7.096590909090909,4.101694915254237,5.8,4.651685393258427,7.71978021978022,11.804878048780491,7.49375,13.375,1.967032967032967,4.3352272727272725,2.542372881355932,7.947058823529412,5.186046511627907,8.11046511627907,5.228915662650604,5.224137931034483,3.3920454545454546,6.297619047619048,7.586206896551722,7.637426900584796,11.730263157894735
Maine,FIPS:23,,,,,4.8,4.01,4.36,4.1,3.56,,,,,,,5.734375,6.285714285714287,5.5891472868217065,7.583333333333332,5.348148148148149,4.592592592592593,7.449612403100775,6.5777777777777775,8.558333333333334,7.396825396825397,6.949579831932772,6.02542372881356,9.291666666666666,10.635036496350363,8.303030303030303,5.723076923076923,5.384,3.938931297709924,6.440298507462686,6.436507936507938,7.897435897435898,6.463414634146342,8.066115702479339,5.863247863247862,9.196969696969695,4.428571428571429,7.825396825396825,6.586466165413535,7.6818181818181825,5.984732824427482
Maryland,FIPS:24,,,,4.78,6.48,5.78,5.93,6.33,5.36,3.03,,,,,,6.222222222222222,13.025,7.0852713178294575,6.8429752066115705,4.563492063492063,5.946969696969697,3.8796992481203008,2.467625899280576,7.883333333333334,8.32,3.007518796992481,6.814516129032258,7.616541353383456,10.481751824817518,4.0,8.372093023255816,8.53968253968254,3.848920863309353,5.845070422535211,4.270833333333333,3.446969696969697,4.871212121212121,9.162962962962963,5.496183206106871,5.014705882352942,10.13138686131387,8.448,7.8461538461538485,7.627906976744188,11.94488188976378
Massachusetts,FIPS:25,,,,,3.0650000000000004,2.175,2.915,2.495,1.835,0.8999999999999999,,,,,,6.974025974025973,8.436708860759492,3.6604938271604937,5.571428571428571,5.006024096385542,5.42603550295858,7.347058823529411,3.863095238095238,7.7560975609756095,8.866666666666667,6.120481927710843,5.1987577639751565,8.610169491525424,9.370370370370368,7.886010362694299,6.5,4.899441340782123,5.649746192893401,6.87434554973822,5.11578947368421,6.055865921787709,6.085714285714285,9.650887573964496,6.048192771084339,9.54335260115607,6.352331606217617,5.881443298969072,6.073863636363638,8.269005847953219,7.983695652173912
Michigan,FIPS:26,,,,,4.895,4.565,6.845,4.52,3.675,2.43,,,,,,7.515625,6.244776119402985,4.923753665689151,7.337349397590362,7.1308139534883725,7.283132530120483,7.2844311377245505,4.634674922600619,7.77891156462585,8.334470989761092,4.970394736842105,7.685810810810809,8.430722891566267,7.688235294117647,7.762177650429798,5.707865168539327,6.6869565217391305,4.038781163434903,9.791666666666666,7.118902439024391,5.8474576271186445,5.185667752442996,6.946666666666666,3.750819672131148,6.394409937888199,8.578171091445428,6.485795454545454,4.7920227920227925,7.6081871345029235,7.002994011976048
Minnesota,FIPS:27,,,,,5.52,7.0600000000000005,8.04,6.315,5.13,3.77,,,,,,5.504249291784703,6.398936170212767,7.236559139784946,8.082446808510639,8.138020833333334,7.624664879356568,4.424657534246577,3.981191222570533,4.5137931034482754,3.691275167785234,2.3300653594771243,2.986666666666667,6.681198910081744,6.9776674937965275,7.702770780856423,5.220873786407767,8.390625,5.814136125654451,6.323119777158773,1.7095808383233533,2.0355987055016183,2.0129032258064514,3.5514950166112955,3.2824675324675323,4.184615384615385,6.625641025641026,8.626315789473685,6.590425531914892,6.084468664850137,6.528528528528527
